Statistic,Quarter,Sector,value
Expenditure on GNP at Current Market Prices,1995Q1,Personal Expenditure on Consumer Goods and Services,6788
Expenditure on GNP at Current Market Prices,1995Q1,Household & NPISH Final Consumption Expenditure,6809
Expenditure on GNP at Current Market Prices,1995Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,2217
Expenditure on GNP at Current Market Prices,1995Q1,General Government Expenditure on Goods & Services provided to Households,1352
Expenditure on GNP at Current Market Prices,1995Q1,General Government Collective Consumption Expenditure,843
Expenditure on GNP at Current Market Prices,1995Q1,General Government Final Consumption Expenditure,2196
Expenditure on GNP at Current Market Prices,1995Q1,Gross Domestic Fixed Capital Formation,2515
Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Dwellings,451
Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Improvements,151
Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Other Building and Construction,532
Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Transfer Costs,82
Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Machinery and Equipment,1074
Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,59
Expenditure on GNP at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Intangible Assets,225
Expenditure on GNP at Current Market Prices,1995Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1995Q1,Value of Physical Changes in Stocks,356
Expenditure on GNP at Current Market Prices,1995Q1,Exports of Goods and Services (excluding Factor Income Flows),9175
Expenditure on GNP at Current Market Prices,1995Q1,Imports of Goods and Services (excluding Factor Income Flows),-8104
Expenditure on GNP at Current Market Prices,1995Q1,Gross Domestic Product at Market Prices,13152
Expenditure on GNP at Current Market Prices,1995Q1,Net Factor Income from the Rest of the World,-1620
Expenditure on GNP at Current Market Prices,1995Q1,Gross National Product at Market Prices,11532
Expenditure on GNP at Current Market Prices,1995Q1,Statistical Discrepancy,206
Expenditure on GNP at Current Market Prices,1995Q1,Export of Goods (excluding Factor Income Flows),8023
Expenditure on GNP at Current Market Prices,1995Q1,Import of Goods (excluding Factor Income Flows),-6093
Expenditure on GNP at Current Market Prices,1995Q1,Export of Services (excluding Factor Income Flows),1152
Expenditure on GNP at Current Market Prices,1995Q1,Import of Services (excluding Factor Income Flows),-2011
Expenditure on GNP at Current Market Prices,1995Q1,Final Domestic Demand,11520
Expenditure on GNP at Current Market Prices,1995Q1,Total Domestic Demand,11875
Expenditure on GNP at Current Market Prices,1995Q2,Personal Expenditure on Consumer Goods and Services,7068
Expenditure on GNP at Current Market Prices,1995Q2,Household & NPISH Final Consumption Expenditure,6933
Expenditure on GNP at Current Market Prices,1995Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,2228
Expenditure on GNP at Current Market Prices,1995Q2,General Government Expenditure on Goods & Services provided to Households,1456
Expenditure on GNP at Current Market Prices,1995Q2,General Government Collective Consumption Expenditure,908
Expenditure on GNP at Current Market Prices,1995Q2,General Government Final Consumption Expenditure,2363
Expenditure on GNP at Current Market Prices,1995Q2,Gross Domestic Fixed Capital Formation,2384
Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Dwellings,456
Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Improvements,157
Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Other Building and Construction,573
Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Transfer Costs,88
Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Machinery and Equipment,894
Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,13
Expenditure on GNP at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Intangible Assets,216
Expenditure on GNP at Current Market Prices,1995Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1995Q2,Value of Physical Changes in Stocks,140
Expenditure on GNP at Current Market Prices,1995Q2,Exports of Goods and Services (excluding Factor Income Flows),9931
Expenditure on GNP at Current Market Prices,1995Q2,Imports of Goods and Services (excluding Factor Income Flows),-8064
