Statistic,Quarter,Sector,value
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Personal Expenditure on Consumer Goods and Services,6788
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,2217
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Modified Gross Domestic Fixed Capital Formation,2478
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Dwellings,451
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Improvements,151
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Other Building and Construction,532
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Gross domestic fixed capital formation - Transfer Costs,82
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,1074
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,187
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,38
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Value of Physical Changes in Stocks,356
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Modified Final Domestic Demand,11482
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q1,Modified Total Domestic Demand,11838
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Personal Expenditure on Consumer Goods and Services,7068
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,2228
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Modified Gross Domestic Fixed Capital Formation,2345
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Dwellings,456
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Improvements,157
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Other Building and Construction,573
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Gross domestic fixed capital formation - Transfer Costs,88
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,894
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,177
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,39
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Value of Physical Changes in Stocks,140
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Modified Final Domestic Demand,11641
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q2,Modified Total Domestic Demand,11782
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q3,Personal Expenditure on Consumer Goods and Services,7159
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,2249
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q3,Modified Gross Domestic Fixed Capital Formation,2504
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Dwellings,519
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Improvements,176
	Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Other Building and Construction,557
