Statistic,Quarter,Sectors,value
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Personal Expenditure on Consumer Goods and Services,10493
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,4450
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Gross Domestic Fixed Capital Formation,4836
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Exports of Goods and Services (excluding Factor Income Flows),10747
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Imports of Goods and Services (excluding Factor Income Flows),-9625
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Gross Domestic Product at Market Prices,24146
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Gross National Product at Market Prices,22262
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q1,Modified Final Domestic Demand,19425
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Personal Expenditure on Consumer Goods and Services,10789
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,4298
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Gross Domestic Fixed Capital Formation,4699
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Exports of Goods and Services (excluding Factor Income Flows),11102
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Imports of Goods and Services (excluding Factor Income Flows),-9978
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Gross Domestic Product at Market Prices,24313
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Gross National Product at Market Prices,22694
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q2,Modified Final Domestic Demand,19501
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Personal Expenditure on Consumer Goods and Services,11057
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1995Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,4296
