STATISTIC,Month,Taxation.Class,value
Vehicles Licensed for the First Time,1996 July,All Vehicles,18011
Vehicles Licensed for the First Time,1996 July,New Vehicles,13169
Vehicles Licensed for the First Time,1996 July,New Private Cars,10959
Vehicles Licensed for the First Time,1996 July,New Goods Vehicles,1430
Vehicles Licensed for the First Time,1996 July,New Tractors,172
Vehicles Licensed for the First Time,1996 July,New Motor Cycles,263
Vehicles Licensed for the First Time,1996 July,New Exempt Vehicles,215
Vehicles Licensed for the First Time,1996 July,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",130
Vehicles Licensed for the First Time,1996 July,Secondhand Vehicles,4842
Vehicles Licensed for the First Time,1996 July,Secondhand Private Cars,3716
Vehicles Licensed for the First Time,1996 July,Secondhand Goods Vehicles,388
Vehicles Licensed for the First Time,1996 July,Secondhand Tractors,329
Vehicles Licensed for the First Time,1996 July,Secondhand Other Vehicles,409
Vehicles Licensed for the First Time,1996 July,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1996 August,All Vehicles,12724
Vehicles Licensed for the First Time,1996 August,New Vehicles,8362
Vehicles Licensed for the First Time,1996 August,New Private Cars,6582
Vehicles Licensed for the First Time,1996 August,New Goods Vehicles,1106
Vehicles Licensed for the First Time,1996 August,New Tractors,129
Vehicles Licensed for the First Time,1996 August,New Motor Cycles,250
Vehicles Licensed for the First Time,1996 August,New Exempt Vehicles,185
Vehicles Licensed for the First Time,1996 August,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",110
Vehicles Licensed for the First Time,1996 August,Secondhand Vehicles,4362
Vehicles Licensed for the First Time,1996 August,Secondhand Private Cars,3433
Vehicles Licensed for the First Time,1996 August,Secondhand Goods Vehicles,342
Vehicles Licensed for the First Time,1996 August,Secondhand Tractors,255
Vehicles Licensed for the First Time,1996 August,Secondhand Other Vehicles,332
Vehicles Licensed for the First Time,1996 August,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1996 September,All Vehicles,11274
Vehicles Licensed for the First Time,1996 September,New Vehicles,6737
Vehicles Licensed for the First Time,1996 September,New Private Cars,5162
Vehicles Licensed for the First Time,1996 September,New Goods Vehicles,1091
Vehicles Licensed for the First Time,1996 September,New Tractors,96
Vehicles Licensed for the First Time,1996 September,New Motor Cycles,194
Vehicles Licensed for the First Time,1996 September,New Exempt Vehicles,101
Vehicles Licensed for the First Time,1996 September,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",93
Vehicles Licensed for the First Time,1996 September,Secondhand Vehicles,4537
Vehicles Licensed for the First Time,1996 September,Secondhand Private Cars,3608
Vehicles Licensed for the First Time,1996 September,Secondhand Goods Vehicles,367
Vehicles Licensed for the First Time,1996 September,Secondhand Tractors,216
Vehicles Licensed for the First Time,1996 September,Secondhand Other Vehicles,346
Vehicles Licensed for the First Time,1996 September,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1996 October,All Vehicles,11449
Vehicles Licensed for the First Time,1996 October,New Vehicles,6461
Vehicles Licensed for the First Time,1996 October,New Private Cars,4815
Vehicles Licensed for the First Time,1996 October,New Goods Vehicles,1081
Vehicles Licensed for the First Time,1996 October,New Tractors,132
Vehicles Licensed for the First Time,1996 October,New Motor Cycles,211
Vehicles Licensed for the First Time,1996 October,New Exempt Vehicles,106
